message,label
"just had a real good moment. i missssssssss him so much, ",0
is reading manga  http://plurk.com/p/mzp1e,0
@comeagainjen http://twitpic.com/2y2lx - http://www.youtube.com/watch?v=zoGfqvh2ME8 ,0
"@lapcat Need to send 'em to my accountant tomorrow. Oddly, I wasn't even referring to my taxes. Those are supporting evidence, though. ",0
ADD ME ON MYSPACE!!!  myspace.com/LookThunder,0
so sleepy. good times tonight though ,0
"@SilkCharm re: #nbn as someone already said, does fiber to the home mean we will all at least be regular now ",0
23 or 24ï¿½C possible today. Nice ,0
nite twitterville  workout in the am  -ciao,0
"@daNanner Night, darlin'!  Sweet dreams to you ",0
Good morning everybody! ,0
Finally! I just created my WordPress Blog. There's already a blog up on the Seattle Coffee Community  ... http://tinyurl.com/c5uufd,0
kisha they cnt get over u til they get out frm under u just remember ur on top ,0
"@nicolerichie Yes i remember that band, It was Awesome, Will you please reply ",0
I really love reflections and shadows ,0
@blueaero ooo it's fantasy?  i like fantasy novels   will check it out,0
"@rokchic28 no probs, I sell nothing other than my blog http://snedwan.com  I'll have to get a listen to your band, on iTunes?",0
@shipovalov &quot;NOKLA connecting people&quot; ?? ???????  ??????? ,0
Once again stayed up to late and have to start too early  It is a good thing I like my job,0
"@Kal_Penn I just read about your new job, CONGRATULATIONS!  That's fantastic.",0
haven't been able to sleep at ALL. i think i'll watch Ugly Betty online. ,0
woo thanks ron and steeve for following me yeow i have folowerssss  haha  p.s i wanna got to the ellen show ,0
@aidenchan yeah sure but its my sister's so take EXTRA gd care ,0
@sian_the_mouse yay! a duck! if i want anything watching me it'd be a duck!  lol,0
smaaack that ass! hahhahahaa  i make myself laugh!! oOooOh sleeeep! ahha g'niite!,0
woo. its late! haha  goodnight twitterverse! xoxo,0
Looking forward to the meeting with Pastor Kong and JW later! ,0
@doubleickey u know those minichocolates in the shape of liquor bottles? with liqour inside em ,0
Testing to see if twitter works thro facebook ,0
NIGHT babies. Got a VH1 thing in the am  Check out my pics! http://twitpic.com/2y57u http://twitpic.com/2xzl1 http://twitpic.com/2y5s2,0
got the magic numbers and is thanking y'all for the support ,0
"it's cold, man am i loving this weather ",0
"Ok guys - we've officially launched new languages #Swedish and #Russian - really fun, if you ask me!  www.surveypirate.com",0
The lady who bought the bracelet pictured as my twitter page background is still wearing it a week later -- hasn't taken it off. Likes it ,0
@ DwanB i ate filet american this morning  and i cant see your pic on mobile twitter,0
booked my hair appointment ,0
"My Report Was: English: B-, Modern History: A-, Geography: B, Maths B: B-, Accounting: A and IPT: A      ",0
"@DTPHULP  lol, me too....    You do know that the sound of your voice is great ?  We only need to do some euh fine-tuning... ",0
Cupcake heaven! http://ilovecupcakes.co.za/  check out the shop!  nice #design  (weird contact info popup tho),0
Bought the MH bundle? Create a task called &quot;Mario&quot; or &quot;Star Wars&quot; in &quot;The Hit List&quot;. Make sure your sound is on and complete the tasks! ,0
someone turn on the shower please!! ,0
@frumousme yeah there are so many of us angry feeters  Tim's THAT good lol... I have been good I go on I  just havent posted for a while,0
@Carly109 love the new song. and the chorus is real nice and catchy.  gud job. who did the track and recording jordan?,0
@TayJasper alrite thanxx ,0
@889grapevine Looking forward to the new website ,0
@modejunkie awww sweetness! But he's still a cutie! ,0
@rowanberry  ohhh sending loads of Positive vibes your way ,0
@tcouto Cool stuff! ,0
Celebrating a minor banking triumph (that's banking with a b). Got one to admit it was wrong ,0
@cosmicgirlie Thinking of you. Everything crossed  Turn baby turn!,0
@EmmaLight I'd forgotten about that  We need to do that again sometime.,0
@tommcfly Eclipse is awesome  it's better than new moon,0
Tired today - drunk husband to be rolled in at 1am with bunch friends for another drink! Noisy lot ,0
"@ingorammer well it is definitelly worth trying, you'll notice the difference. But it's not my favorite neither ",0
@mileycyrus good morning Miley ,0
Finished my first shift and doors are opening already! ,0
Nothing quite like finding good amp settings from a solid state amp ,0
